ApplicationSubmitted,RequestArrivedInOffice
RequestArrivedInOffice,FormPrinted
RequestArrivedInOffice,ApplicationRejectedByOffice
FormPrinted,FormSigned
FormPrinted,ApplicationRejectedByOffice
FormSigned,SignedFormArrivedInOffice
FormSigned,ApplicationRejectedByOffice
SignedFormArrivedInOffice,ApplicationRejectedByOffice
SignedFormArrivedInOffice,CertificateCollectedByStudent
ApplicationRejectedByOffice,RequestFisnishedWithError
ApplicationCancelled,Finish
RequestFinishedSuccessfully,Finish
RequestFisnishedWithError,Finish
