Start,ApplicationInitiated
ApplicationInitiated,ApplicationFormPartiallyFilled
ApplicationInitiated,ApplicationFormFilled
ApplicationFormPartiallyFilled,ApplicationFormPartiallyFilled
ApplicationFormPartiallyFilled,ApplicationFormFilled
ApplicationFormFilled,ApplicationFormPartiallyFilled
ApplicationFormFilled,ApplicationFormFilled
ApplicationFormFilled,ApplicationSubmitted
ApplicationSubmitted,RequestArrivedInOffice
RequestArrivedInOffice,FormPrinted
RequestArrivedInOffice,ApplicationRejectedByOffice
FormPrinted,FormSigned
FormPrinted,ApplicationRejectedByOffice
FormSigned,SignedFormArrivedInOffice
FormSigned,ApplicationRejectedByOffice
SignedFormArrivedInOffice,ApplicationRejectedByOffice
SignedFormArrivedInOffice,CertificateCollectedByStudent
CertificateCollectedByStudent,RequestFinishedSuccessfully
ApplicationRejectedByOffice,RequestFisnishedWithError
RequestFinishedSuccessfully,Finish
RequestFisnishedWithError,Finish
