ApplicationSubmitted,RequestArrivedInOffice
RequestArrivedInOffice,FormPrinted
RequestArrivedInOffice,ApplicationRejectedByOffice
RequestArrivedInOffice,ApplicationModification
ApplicationModification,ModificationSuccessfully
ModificationSuccessfully,FormPrinted
FormPrinted,FormSigned
FormPrinted,ApplicationRejectedByOffice
FormSigned,SignedFormArrivedInOffice
FormSigned,ApplicationRejectedByOffice
SignedFormArrivedInOffice,ApplicationRejectedByOffice
SignedFormArrivedInOffice,CertificateCollectedByStudent
CertificateCollectedByStudent,RequestFinishedSuccessfully
ApplicationRejectedByOffice,RequestFisnishedWithError
ApplicationCancelled,Finish
RequestFinishedSuccessfully,Finish
RequestFisnishedWithError,Finish
